Título de la publicación,Enlace de la publicación,Tipo de publicación,Anunciado por,Fecha de creación,Público,Impresiones,Visualizaciones,Clics,Recomendaciones,Comentarios,Shares,TOTAL,VINCULO DE NEGOCIO,PILAR,Tema,FORMATO,2.23%,MES
"En #GrupoCoppel nos enorgullece compartir que tres de nuestras directivas han sido reconocidas en el ranking ""Las 100 Mujeres Más Poderosas de los Negocios"" de ExpansionMx 2025:
  
  Teresa Cabrera, Directora de Jurídico, Cumplimiento y Enlaces Normativos
  María Luisa Velasco, Directora de Talento y Desarrollo
  Gloria Canales, Directora de Estrategia Digital
  
  Gracias Tere, Maria Luisa y Gloria por ser representantes del trabajo de cada una de las mujeres de Grupo Coppel, quienes juegan un papel fundamental en nuestra transformación.
  
  #OrgulloCoppel #100MujeresPoderosas
  
  Ver ranking: https://cppl.io/jrlCTu",https://www.linkedin.com/feed/update/urn:li:activity:7300944443250020352,Orgánico,Luis Degante,02/27/2025,Todos los seguidores,16927,,2878,584,25,60,669,IMPULSAR AL TALENTO,MARCA EMPLEADORA,DESARROLLO PROFESIONAL,carrusel,3.95%,2
"En #GrupoCoppel nos sumamos a la iniciativa del Consejo Coordinador Empresarial MX Oficial para la integración laboral de mexicanos repatriados de Estados Unidos.
  
  Confiamos en que las empresas, además de ser motores de desarrollo económico, podemos ser un agente de transformación social y que el talento de los mexicanos que regresan fortalecerá a nuestro país.
  
  #OrgulloCoppel #OportunidadesParaTodos #CompromisoCoppel",https://www.linkedin.com/feed/update/urn:li:activity:7295487106758369282,Orgánico,Luis Degante,02/12/2025,Todos los seguidores,13146,,496,208,15,21,244,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR,carrusel,1.86%,2
"En #GrupoCoppel creemos en el poder de la educación para transformar vidas.
  
  Ser reconocidos por la IFC - International Finance Corporation como una empresa pionera en beneficios a nuestros colaboradores que impactan el desarrollo de la primera infancia, nos motiva a seguir impulsando iniciativas que mejoren la vida de las personas.
  
  Cuando invertimos en la educación, en la equidad y en el futuro de nuestra gente, creamos una sociedad más justa y con más oportunidades para todos.
  
  Más información: https://cppl.io/0yhPBY
  
  #OrgulloCoppel",https://www.linkedin.com/feed/update/urn:li:activity:7297355493683974146,Orgánico,Luis Degante,02/17/2025,Todos los seguidores,14311,,2401,230,7,24,261,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR,carrusel,1.82%,2
"En #GrupoCoppel seguimos apoyando la integración laboral de mexicanos repatriados de EE.UU. Junto al Consejo Coordinador Empresarial MX Oficial y 148 empresas, sumamos más de 50 mil empleos disponibles para fortalecer el talento y la economía de nuestro país.
  
  #OrgulloCoppel #OportunidadesParaTodos #CompromisoCoppel",https://www.linkedin.com/feed/update/urn:li:activity:7299957386046328832,Orgánico,Luis Degante,02/25/2025,Todos los seguidores,4907,,156,65,3,9,77,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR,carrusel,1.57%,2
"¡Felicidades a Angelica Bojorquez por recibir el premio Enrique Coppel Luken y ser reconocida por sus 25 años de trayectoria en #GrupoCoppel! 
  
  Angélica es un referente de liderazgo, innovación y compromiso. Su visión estratégica y sus aportaciones en la reingeniería de procesos han sido clave para la consolidación de nuestra cadena de suministro, que hoy es una de las más robustas de América Latina. 🌎 
  
  Estamos muy orgullosos de contar con tu talento y dedicación en nuestro equipo. Gracias por inspirarnos con tu trabajo impecable y por ser un ejemplo para todos nosotros. 🙌
  
  #OrgulloCoppel #ConvenciónCoppel2025",https://www.linkedin.com/feed/update/urn:li:activity:7290779603999031296,Orgánico,Luis Degante,01/30/2025,Todos los seguidores,12276,,785,365,44,13,422,IMPULSAR AL TALENTO,MARCA EMPLEADORA,DESARROLLO PROFESIONAL,imagen,3.44%,1
"En #GrupoCoppel estamos convencidos de que el liderazgo y la visión estratégica son fundamentales para transformar vidas y generar valor sostenible.
  
  Estamos convencidos de que el trabajo en equipo y un buen liderazgo nos permitirá alcanzar la visión de ser la tienda omnicanal y de servicios financieros personales y digitales, favorita del mercado masivo. 
  
  Gracias a la guía de Agustín Coppel Luken y al talento de los 120,000 colaboradores que conformamos Grupo Coppel, nos seguimos consolidado como una empresa a la vanguardia tecnológica, con un portafolio de productos diversificado, que impulsa la inclusión financiera y genera miles de empleos.
  
  Descubre más sobre la visión y el liderazgo de Grupo Coppel: 👉 https://lnkd.in/eCJj3AtX
  
  #OrgulloCoppel #LíderesCoppel",https://www.linkedin.com/feed/update/urn:li:activity:7287536360096165888,Orgánico,Cesar Terrazas,01/21/2025,Todos los seguidores,23217,,921,567,21,41,629,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR,imagen,2.71%,1
"Con el firme compromiso de mejorar la vida de las personas, en #GrupoCoppel destinaremos más de 14 mil millones de pesos en 2025 para la expansión y transformación digital de nuestro negocio.
  
  Queremos seguir evolucionando para mantener la preferencia de nuestros clientes y construir una organización más ágil, eficiente y cercana, en beneficio de nuestros clientes, colaboradores y comunidades donde operamos.
  
  Conoce más aquí: https://cppl.io/sxo4TE
  
  #OrgulloCoppel #TransformaciónDigital #Sostenibilidad",https://www.linkedin.com/feed/update/urn:li:activity:7290005820090507265,Orgánico,Luis Degante,01/28/2025,Todos los seguidores,31898,,1227,855,67,111,1033,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS,imagen,3.24%,1
"En una entrevista exclusiva con el medio internacional Bloomberg, nuestro presidente y director general, Agustín Coppel, habló sobre el futuro de #GrupoCoppel. Con una asignación de más de 14 mil millones de pesos para 2025, planeamos abrir 100 nuevas tiendas, fortalecer nuestro ecosistema físico y digital y seguir ofreciendo crédito accesible a millones de familias.
  
  Además, recordó el aprendizaje y legado que le dejó su papá: 
  
  ""Cuando yo estaba de Gerente y me visitaba mi papá en la tienda, todo lo que veía él, yo no lo estaba viendo. Me decía, tienes un cuello de botella aquí, abre este pasillo, tienes desacomodado esta área […] En una pasada me abría los ojos de muchas cosas que estaban sucediendo, siempre fue un muy buen aprendizaje.""
  
  Lee la entrevista completa aquí: https://cppl.io/LrK2hX
  
  #OrgulloCoppel",https://www.linkedin.com/feed/update/urn:li:activity:7292669938933071872,Orgánico,Luis Degante,02/04/2025,Todos los seguidores,50739,,2656,845,38,53,936,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS,imagen,1.84%,2
"En #GrupoCoppel creemos que el bienestar comienza con la educación y la salud. Por eso, a través de Fundación Coppel, nos sumamos con entusiasmo a la Estrategia Nacional ""Vive Saludable, Vive Feliz"", un programa que impactará la vida de 12 millones de niñas y niños en México, promoviendo hábitos saludables y facilitando el acceso a revisiones médicas en escuelas. 
  
  Sabemos que acercar oportunidades a la infancia es apostar por un país con más bienestar y más posibilidades de crecimiento para todos. Si mejoramos la vida de las personas, crecemos juntos.
  
  #ViveSaludableViveFeliz #CompromisoCoppel #OrgulloCoppel
  
  Ver más: https://cppl.io/MUEdZv",https://www.linkedin.com/feed/update/urn:li:activity:7301300122603118592,Orgánico,Luis Degante,02/28/2025,Todos los seguidores,2513,,79,42,4,6,52,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,FUNDACIÓN COPPEL,imagen,2.07%,2
"En #GrupoCoppel, estamos comprometidos con el desarrollo profesional de nuestros colaboradores y sus familias. Por ello, ofrecemos becas y programas académicos a través de nuestra Universidad Corporativa Coppel, diseñados para fortalecer sus competencias y habilidades.
  
  Desde 2013, hemos becado a más de 38,000 personas. Este 2024, celebramos con orgullo la graduación de 1,034 colaboradores, quienes han completado su preparatoria, estudios profesionales o maestrías, gracias a los programas académicos que ponemos a su alcance.
  
  Felicitamos a cada egresado por transformar su futuro mediante la educación. Nos llena de orgullo ser parte de su éxito. 👏 
  
  #OrgulloCoppel #EgresadosUCC",https://www.linkedin.com/feed/update/urn:li:activity:7284660316662087680,Orgánico,Mariana Torres,01/13/2025,Todos los seguidores,19281,10377,1185,221,17,28,266,IMPULSAR AL TALENTO,MARCA EMPLEADORA,DESARROLLO PROFESIONAL,Vídeo,1.38%,1
